nama_resto;rating;jenis;resto_geom;;;ulasan
Djampi Jawi Solo;4.8;Restaurant;POINT(110.823774 -7.5629634);;;1682
Rumah Makan Adem Ayem;4.5;Indonesian;POINT(110.8090412 -7.5660609);;;12443
Alamama Resto;4.8;Restaurant;POINT(110.8176833 -7.5677995);;;2063
Kampung kecil Solo;4.9;Restaurant;POINT(110.8329175 -7.5598846);;;11081
Canting Londo Kitchen;4.8;Restaurant;POINT(110.7960494 -7.5696252);;;3962
Cafe Tiga Ceret;4.3;Central Javanese restaurant;POINT(110.822899 -7.568274);;;6794
Gubug Makan Mang Engking Solo;4.5;Restaurant;POINT(110.771592 -7.559768);;;1791
Timlo Solo Restaurant;4.3;Javanese restaurant;POINT(110.834624 -7.5645116);;;3494
Saffron Resto & Meatshop;4.6;Italian;POINT(110.8271656 -7.5695869);;;1771
Resto Solo by Elrama;4.9;Javanese restaurant;POINT(110.8199521 -7.569784);;;506
Pecel Solo;4.3;Javanese restaurant;POINT(110.814703 -7.5623244);;;24
WESJA Indonesia;4.6;Javanese restaurant;POINT(110.8250798 -7.5731645);;;216
Omah Selat;4.5;Restaurant;POINT(110.8431913 -7.5664654);;;2067
Warung Selat Mbak Lies;4.4;Central Javanese restaurant;POINT(110.818147 -7.5823039);;;8195
Timlo Sastro 1;4.5;Javanese restaurant;POINT(110.8288317 -7.563386);;;3152
Warung Makan Nyuss;4.5;Family-friendly;POINT(110.8180182 -7.5613772);;;859
Warung TiadaTara;4.8;Nasi restaurant;POINT(110.8590183 -7.5553543);;;1062
Dapur Solo Hj. Indrat (Edutorium UMS);4.6;Buffet;POINT(110.7728385 -7.5458668);;;4939
SBC Spesial Cah Kangkung Solo;4.2;Central Javanese restaurant;POINT(110.8603874 -7.5595616);;;3551
Cari Makan;4.4;Indonesian;POINT(110.8138707 -7.566987);;;2136
Ramayana Indonesian Restaurant;4.2;Restaurant;POINT(110.826223 -7.5690321);;;989
COBEK PANAS;4.3;Javanese restaurant;POINT(110.8455694 -7.558699);;;1030
Solo's Bistro;4.5;Western;POINT(110.820195 -7.569903);;;6253
Tirai Bamboe;4.5;Chinese;POINT(110.8234464 -7.5701413);;;2919
Goela Klapa Authentic Indonesian Cuisine;4.3;Indonesian;POINT(110.8094525 -7.5565971);;;1235
Rumah Makan Pak Die Solo Balapan;4.5;Javanese restaurant;POINT(110.8222396 -7.5581589);;;1870
Balekambang Resto;4.4;Seafood;POINT(110.8089512 -7.5542693);;;4137
Banyu Langit Resto dan Wedangan;4.4;Indonesian;POINT(110.8218586 -7.5937332);;;1855
Warung Makan Sheryngga Poek-We;4.6;Javanese restaurant;POINT(110.8624286 -7.5508942);;;1675
Tenda Daun Solo;4.2;Restaurant;POINT(110.8089779 -7.5456602);;;1289
Armey Kitchen;4.7;Restaurant;POINT(110.8231976 -7.5732534);;;1451
Bakso Kadipolo Solo;4.5;Bakso restaurant;POINT(110.8163181 -7.5659001);;;3439
Rumah Banjar Garden Resto;4.5;Indonesian;POINT(110.7886466 -7.5564742);;;1349
Kusuma Sari Restaurant & Ice Cream;4.5;Restaurant;POINT(110.824163 -7.5711338);;;741
Saung Bandung Garden Resto;4.4;Restaurant;POINT(110.7909561 -7.5565268);;;722
Warung Makan Kemi Jozz;4.3;Javanese restaurant;POINT(110.8498676 -7.5604393);;;78
Bu Zaenal eatery;4.5;Javanese restaurant;POINT(110.8251155 -7.569001);;;1158
Warung Makan Bu Sinder;4.4;Javanese restaurant;POINT(110.8331431 -7.5614054);;;1270
Wastra Bumbu;4.8;Indonesian;POINT(110.7985523 -7.5627477);;;323
MAKUNDE RESTO;3.7;Family-friendly;POINT(110.8591439 -7.563543);;;90
"WARUNG MAKAN ""MBAK IWAL"" PRASMANAN";5;Brunch;POINT(110.8274179 -7.5751176);;;25
Warung Pecel dan Sop Dewi - Rumah Makan Pecel Dewi;4.5;Indonesian;POINT(110.8162601 -7.5744617);;;639
Épice Restaurant;4.7;Javanese restaurant;POINT(110.7862248 -7.5588719);;;111
Soto Triwindu;4.5;Soto restaurant;POINT(110.8233749 -7.5690035);;;4862
Pondok Jowi;4.5;Balinese restaurant;POINT(110.8051145 -7.5525182);;;2253
Restoran Kusuma Sari Yos Sudarso;4.6;Restaurant;POINT(110.8240036 -7.571463);;;1144
Bebek Goreng H. Slamet (Asli);4.5;Javanese restaurant;POINT(110.7825857 -7.5578308);;;2296
T'Coral Rumah Makan;4.7;Restaurant;POINT(110.850915 -7.5633084);;;55
"Warung Spesial Sambal ""SS""";4.3;Restaurant;POINT(110.8487909 -7.5597202);;;4930
Warung Makan Mbak Nur;4.3;Javanese restaurant;POINT(110.8476342 -7.5590227);;;20
Miroso Restaurant;4.6;Chinese;POINT(110.826004 -7.570292);;;1883
Warung Ijo;4.4;Javanese restaurant;POINT(110.8475095 -7.5592459);;;51
Es Masuk Gajahan;4.4;Restaurant;POINT(110.8229171 -7.5810172);;;2823
Sate Kambing & Thengkleng Rica-Rica Pak Manto;4.4;Satay restaurant;POINT(110.8168519 -7.5705567);;;1149
Warung Makan Mbok Was;4.7;Restaurant;POINT(110.8564446 -7.5538831);;;194
Soemoer Timbo Heritage Resto;4.3;Restaurant;POINT(110.802276 -7.5481672);;;1289
Nyoto Roso 2 Cab Solo ( Gringsing-Kendal-BSD Serpong-Solo-Rest Area Tol KM 379A Gringsing-Rest Area Tol KM 487B Boyolali;4.3;Diner;POINT(110.8152994 -7.5642052);;;247
Pokwe Nuke (Prasmanan & Katering) Singosaren;4.5;Buffet;POINT(110.8219007 -7.5729852);;;478
Rumah Makan Bu Ning;4.8;Javanese restaurant;POINT(110.8537888 -7.5530162);;;117
Rumah Makan Padang Urang Awak;4.8;Restaurant;POINT(110.8521295 -7.5591989);;;62
Restaurant & Cafe Diamond;4.6;Dim Sum;POINT(110.802899 -7.564223);;;3682
Sate Kambing Mbok Galak;4.4;Satay restaurant;POINT(110.8087797 -7.5447468);;;7343
"Warung Makan Pokwe ""LIANTA""";5;Restaurant;POINT(110.8494643 -7.5569316);;;5
Tengkleng Klewer Ibu Edi;4.2;Satay restaurant;POINT(110.8273845 -7.574966);;;1853
Bebek Goreng H. Slamet;4.5;Restaurant;POINT(110.8093872 -7.5765624);;;2296
Dapur Asli Solo;4.4;Restaurant;POINT(110.8221879 -7.5765433);;;414
Depot Makan Kedai Kencana;4.6;Nasi goreng restaurant;POINT(110.8508982 -7.5567612);;;184
Lesehan Mantep;4.5;Chicken;POINT(110.8461581 -7.5579529);;;192
Par Four Cafe;4.7;Western;POINT(110.8143023 -7.5702953);;;523
RM Pecel Bu Kis;4.4;Restaurant;POINT(110.815209 -7.5666429);;;1053
Warung Makan Bu Enny;4.4;Javanese restaurant;POINT(110.8439649 -7.558138);;;26
Nasi Liwet Yu Sani Gemblegan;4.5;Indonesian;POINT(110.8213661 -7.5822772);;;2377
Gajah Mas Noodle;4.3;Chinese Noodles;POINT(110.8308563 -7.5693169);;;1349
"SAMBAL BELUT & SAMBAL PENYET ""BAROKAH""";4.2;Chicken;POINT(110.8435454 -7.5591792);;;33
Timlo Maestro;4.5;Soup shop;POINT(110.8250063 -7.5693146);;;1833
Ayam Goreng KARTINI;4.6;Chicken;POINT(110.809703 -7.574092);;;2693
Warung Makan 3R;4.7;Restaurant;POINT(110.8538772 -7.5531051);;;141
"Rumah makan ""Sari Prasojo""";4.3;Restaurant;POINT(110.8200195 -7.5469433);;;55
Warung Makan Rahayu Jebres;5;Restaurant;POINT(110.8499652 -7.5603474);;;6
Timlo Khas Solo;4.3;Fast Food;POINT(110.8074466 -7.5666801);;;54
Warung makan ceria kitchen;4.6;Family-friendly;POINT(110.8108701 -7.5953038);;;61
Ampera Uni Nora;4.5;Padang restaurant;POINT(110.826258 -7.57384);;;142
Wr Rawon Penjara Bu Har;4.4;Nasi restaurant;POINT(110.8274431 -7.5712694);;;951
RUMAH MAKAN KONDANG LEZAT BU DORKAS;4.4;Javanese restaurant;POINT(110.8378524 -7.5726289);;;38
Madam Xiang Restaurant;4.4;Chinese;POINT(110.8213926 -7.5715522);;;476
Depot Makan Eco Roso;4.4;Brunch;POINT(110.8199011 -7.5736795);;;182
"Warung makan "" NIKMAT """;5;Restaurant;POINT(110.8467645 -7.5557657);;;1
Warung Makan Istiqomah 2;5;Restaurant;POINT(110.8223337 -7.5724329);;;31
Wang Li Heng;4.3;Noodle Shop;POINT(110.8156553 -7.5610704);;;1803
Warung Makan Mbak Maryati;4.4;Javanese restaurant;POINT(110.848123 -7.5589159);;;9
Pecel Menangan Surakarta;4.5;Indonesian;POINT(110.8280645 -7.5853701);;;598
Bakso Alex Mangkunegaran;4.5;Bakso restaurant;POINT(110.8205271 -7.5656105);;;4347
Fung Restaurant;4.6;Chinese;POINT(110.8210696 -7.5780236);;;381
Warung Makan 33;4.3;Javanese restaurant;POINT(110.8135757 -7.5754716);;;157
Jinju Korean Eatery;4.5;Korean;POINT(110.8252334 -7.5713545);;;1715
RM. Cahaya Aji;4;Padang restaurant;POINT(110.8472811 -7.5580916);;;113
Nasi Kuning Bang Ro;4.3;Fast Food;POINT(110.8221449 -7.5739284);;;415
Tengkleng Kambing Bu Pon;4.4;Satay restaurant;POINT(110.832932 -7.571246);;;712
SAMBAL NINGRAT;4.5;Diner;POINT(110.8234892 -7.5745715);;;65
Warung Makan Bu.Dewi Geprek.;4.4;Brunch;POINT(110.8510387 -7.5597262);;;27
Sabar Menanti Rumah Makan;4.4;Chinese;POINT(110.7999053 -7.5633579);;;274
Hotway's Chicken Solo;4.7;Chicken;POINT(110.8102798 -7.5693413);;;1877
Bu Parmi's Nasi Liwet & Cabuk Rambak;4.6;Sundanese restaurant;POINT(110.8210155 -7.5809585);;;1505
Warung Makan Mas Elang 1;4.5;Diner;POINT(110.8457801 -7.5586451);;;2
Mr. Hiroshi Ramen - Takoyaki;4.6;Restaurant;POINT(110.8242833 -7.5747164);;;506
Muramen.Id;4.5;Ramen;POINT(110.8217684 -7.577807);;;231
Warung Makan Sambel Ndeso Liya;5;Javanese restaurant;POINT(110.8516743 -7.561308);;;1
Sate Lezat Bu Ila;4.7;Satay restaurant;POINT(110.8330902 -7.5783437);;;343
SAHABAT SEGO SAMBEL;4.5;Restaurant;POINT(110.7999336 -7.554682);;;1348
Warung Makan Mbak Yam;4.8;Indonesian;POINT(110.8408116 -7.5594583);;;23
"Warung Makan ""Pojok""";4.4;Javanese restaurant;POINT(110.841307 -7.5579986);;;2
Warung Selat Mbak Lies;4.4;Central Javanese restaurant;POINT(110.818147 -7.5823039);;;1
Timlo Sastro 1;4.5;Javanese restaurant;POINT(110.8288317 -7.563386);;;3152
Pecel Solo;4.3;Javanese restaurant;POINT(110.814703 -7.5623244);;;2038
Selat Vien's Pusat;4.5;Central Javanese restaurant;POINT(110.8172017 -7.5579359);;;11753
WESJA Indonesia;4.6;Javanese restaurant;POINT(110.8250798 -7.5731645);;;216
COBEK PANAS Pak Brintik;4.3;Javanese restaurant;POINT(110.8455694 -7.558699);;;1030
Nini Thowong Restaurant;4.3;Central Javanese restaurant;POINT(110.830709 -7.565153);;;5038
Tengkleng Klewer Ibu Edi;4.2;Satay restaurant;POINT(110.8273845 -7.574966);;;1853
Cafe Tiga Ceret;4.3;Central Javanese restaurant;POINT(110.822899 -7.568274);;;6798
Galabo Solo Night Culinary;4.3;Food court;POINT(110.8299477 -7.572484);;;3195
Timlo Solo Restaurant;4.3;Javanese restaurant;POINT(110.834624 -7.5645116);;;3494
Warung TiadaTara;4.8;Breakfast;POINT(110.8590183 -7.5553543);;;1062
Warung Rica Bu Sartini (Rica ISI);4.7;Javanese restaurant;POINT(110.8508528 -7.5574817);;;1807
Rumah Makan Pak Die Solo Balapan;4.5;Breakfast;POINT(110.8222396 -7.5581589);;;1870
Selat Solo Tenda Biru - Dr. Wahidin;4.6;Javanese restaurant;POINT(110.8052207 -7.5686559);;;8434
Timlo Maestro;4.5;Soup shop;POINT(110.8250063 -7.5693146);;;1833
RM Pecel Bu Kis;4.4;Breakfast;POINT(110.815209 -7.5666429);;;1053
Sate Kambing Bu Hj. Bejo;4.5;Satay restaurant;POINT(110.8343011 -7.573145);;;5774
Rumah Makan Adem Ayem;4.5;Indonesian;POINT(110.8090412 -7.5660609);;;12443
Canting Londo Kitchen;4.8;Restaurant;POINT(110.7960494 -7.5696252);;;3962
Gudeg Ceker Margoyudan Bu Kasno;4.5;Breakfast;POINT(110.8296634 -7.5588255);;;4062
Gajah Mas Noodle;4.3;Chinese Noodles;POINT(110.8308563 -7.5693169);;;1349
Es Masuk Gajahan;4.4;Restaurant;POINT(110.8229171 -7.5810172);;;2823
Istana kuliner solo;5;Restaurant;POINT(110.8073434 -7.5783311);;;6
Lombok Gede;4.4;Indonesian;POINT(110.8338177 -7.5658578);;;89
Soto Gading 1;4.5;Soto restaurant;POINT(110.8247357 -7.5868434);;;9700
Kuliner Solo | Nasi Kebuli Mbah Soleh Ngru-Q;4.6;Middle Eastern;POINT(110.7977552 -7.5680002);;;2305
Bu Zaenal eatery;4.5;Javanese restaurant;POINT(110.8251155 -7.569001);;;1158
Tahu Kupat Sido Mampir plus telor;4.4;Tofu;POINT(110.8190705 -7.5623623);;;2260
Warung Selat Mbak Ru;4.7;Restaurant;POINT(110.8250305 -7.5669021);;;238
"Dawet Telasih ""Bu Dermi"" Ps.Gedhe";4.2;Juice;POINT(110.8314446 -7.5693566);;;1170
Kusuma Sari Restaurant & Ice Cream;4.5;Restaurant;POINT(110.824163 -7.5711338);;;5693
Sate Kambing & Thengkleng Rica-Rica Pak Manto;4.4;Satay restaurant;POINT(110.8168519 -7.5705567);;;1150
Gubug Makan Mang Engking Solo;4.5;Restaurant;POINT(110.771592 -7.559768);;;7371
Gede Hardjonagoro Market;4.6;Traditional market;POINT(110.8315563 -7.569377);;;23825
Sate Kambing-Buntel Pak H. Kasdi;4.5;Satay restaurant;POINT(110.8226831 -7.557588);;;5966
Soto Triwindu;4.5;Breakfast;POINT(110.8233749 -7.5690035);;;4862
Mbak Yus Gudeg;4.4;Restaurant;POINT(110.8202408 -7.5686483);;;1216
Sate Kere Yu Rebi;4.3;Satay restaurant;POINT(110.8113261 -7.5696786);;;1302
Penyetan 16 Kuliner Malam Solo;5;Restaurant;POINT(110.8258854 -7.5747933);;;86
Selat Notosuman Bu Haryati;4.8;Asian;POINT(110.820302 -7.577566);;;56
Babi Kuah Pak Jum;4.7;Restaurant;POINT(110.8399382 -7.5687815);;;416
Wr Rawon Penjara Bu Har;4.4;Nasi restaurant;POINT(110.8274431 -7.5712694);;;951
Sate Kambing Mbok Galak;4.4;Breakfast;POINT(110.8087797 -7.5447468);;;7343
Solo's Bistro;4.5;Western;POINT(110.820195 -7.569903);;;6253
"Warung Spesial Sambal ""SS""";4.3;Restaurant;POINT(110.8487909 -7.5597202);;;4296
Cekerdazz Spesial Ceker Pedas Dan Mie Pedas;4.3;Noodle Shop;POINT(110.850508 -7.5582191);;;986
Kuliner Solo | LITTLE INDIA nya S0L0 | Nasgor Rempah Mbah Soleh;4.7;Indian;POINT(110.8047844 -7.5694604);;;1378
Kawasan Kuliner Halal Kauman Solo;4.5;Restaurant;POINT(110.825237 -7.5734709);;;2
Pusat Kuliner Alun Alun Lor Solo;5;Restaurant;POINT(110.829716 -7.5749128);;;4
Tahok Pak Citro Ps.Gedhe;4.5;Hawker stall;POINT(110.8311688 -7.5692402);;;173
Kuliner Malam;4.4;Restaurant;POINT(110.8295408 -7.5514848);;;84
